tweet_clean,Tweet
"['muka', 'temu', 'nd', 'global', 'partnership', 'for', 'financial', 'inclusion', 'plenary', 'meeting', 'diselenggarak']",muka temu nd global partnership for financial inclusion plenary meeting diselenggarak
"['narahubung', 'makincakapdigital', 'cfdsbagiilmu', 'eventmahasiswa', 'eventjogja', 'eventonline']",narahubung makincakapdigital cfdsbagiilmu eventmahasiswa eventjogja eventonline
"['ndonesiamaju', 'kamibersamajokowi', 'jokowidodo', 'indonesiamaju', 'indonesiamaju', 'gindonesia']",ndonesiamaju kamibersamajokowi jokowidodo indonesiamaju indonesiamaju gindonesia
"['negara', 'kerangka', 'inklusi', 'uang', 'dorong', 'digitalisasi', 'dampak', 'peni']",negara kerangka inklusi uang dorong digitalisasi dampak peni
"['negara', 'kerangka', 'inklusi', 'uang', 'dorong', 'digitalisasi', 'dampak', 'tingkat']",negara kerangka inklusi uang dorong digitalisasi dampak tingkat
"['ngapain', 'lo', 'ngurusin', 'bencong', 'nari', 'pikirin', 'tuh', 'formula', 'e', 'ancam', 'event', 'g', 'd']",ngapain lo ngurusin bencong nari pikirin tuh formula e ancam event g d
"['one', 'global', 'women', 'empowerment', 'ogwe', 'platform', 'rancang', 'usaha', 'perempuan', 'didu']",one global women empowerment ogwe platform rancang usaha perempuan didu
"['pandemi', 'covid', 'turun', 'daya', 'beli', 'masyarakat', 'pasal', 'masyarakat', 'kurang', 'interaksi', 'ruang']",pandemi covid turun daya beli masyarakat pasal masyarakat kurang interaksi ruang
"['pasar', 'ekologi', 'argowijil', 'pasar', 'tradisional', 'pegang', 'prinsip', 'kendali', 'bangun', 'sektor', 'tambang', 'd']",pasar ekologi argowijil pasar tradisional pegang prinsip kendali bangun sektor tambang d
"['perata', 'akses', 'energi', 'negara', 'kepulauan---gindonesia', 'dorongnkrilebihmaju']",perata akses energi negara kepulauan---gindonesia dorongnkrilebihmaju
"['perintah', 'indonesia', 'forum', 'g', 'dorong', 'tingkat', 'aksesibilitas', 'negara', 'kepulauan---gindonesia']",perintah indonesia forum g dorong tingkat aksesibilitas negara kepulauan---gindonesia
"['perintah', 'indonesia', 'forum', 'g', 'dorong', 'tingkat', 'aksesibilitas', 'negara', 'kepulauan---pemerataan', 'aks']",perintah indonesia forum g dorong tingkat aksesibilitas negara kepulauan---pemerataan aks
"['pilih', 'juru', 'bicara', 'presidensi', 'g', 'maudy', 'ayunda', 'papar', 'isu', 'transisi', 'energi', 'siap']",pilih juru bicara presidensi g maudy ayunda papar isu transisi energi siap
"['planet', 'yg', 'layak', 'huni', 'utk', 'smua', 'manusia', 'pandang', 'status', 'ekonomi', 'gindonesia']",planet yg layak huni utk smua manusia pandang status ekonomi gindonesia
"['potensi', 'kuat', 'indonesia', 'bangun', 'kerja', 'konkret', 'dgn', 'usaha', 'amerika', 'serikat', 'indonesia', 'kemban']",potensi kuat indonesia bangun kerja konkret dgn usaha amerika serikat indonesia kemban
"['prakarsa', 'anggota', 'c', 'pandang', 'lindung', 'adaptif', 'kerja', 'informal', 'luas', 'tin']",prakarsa anggota c pandang lindung adaptif kerja informal luas tin
"['praktek', 'baik', 'jawa', 'barat', 'huni', 'produktif', 'terjangkaugindonesia', 'uindonesia', 'pulihbersama']",praktek baik jawa barat huni produktif terjangkaugindonesia uindonesia pulihbersama
"['presiden', 'iriana', 'jokowi', 'washington', 'dcyoutube', 'pusaka']",presiden iriana jokowi washington dcyoutube pusaka
"['presiden', 'joko', 'widodo', 'komunikasi', 'via', 'salur', 'telepon', 'presiden', 'rusia', 'vladimir', 'putin', 'kait', 'agenda', 'ktt', 'g', 'komun']",presiden joko widodo komunikasi via salur telepon presiden rusia vladimir putin kait agenda ktt g komun
"['presiden', 'joko', 'widodo', 'tolak', 'amerika', 'serikat', 'salah', 'jadwal', 'kunjung', 'kerja', 'nyata']",presiden joko widodo tolak amerika serikat salah jadwal kunjung kerja nyata
"['presiden', 'jokowi', 'tegas', 'implementasi', 'rencana', 'investasi', 'temu', 'chairman', 'ceo', 'air', 'products', 'seif']",presiden jokowi tegas implementasi rencana investasi temu chairman ceo air products seif
"['presidensi', 'g', 'indonesia', 'tekan', 'inklusi', 'uang', 'digital', 'biaya', 'umkm', 'kurang', 'k']",presidensi g indonesia tekan inklusi uang digital biaya umkm kurang k
"['presidensi', 'g', 'indonesia', 'tekan', 'inklusi', 'uang', 'digital', 'biaya', 'umkm', 'kurang', 'kesenj']",presidensi g indonesia tekan inklusi uang digital biaya umkm kurang kesenj
"['presidensi', 'g', 'indonesia', 'usul', 'prinsip', 'ukur', 'literasi', 'digital', 'infrastruktur', 'ekosistem', 'literasi']",presidensi g indonesia usul prinsip ukur literasi digital infrastruktur ekosistem literasi
"['presidensi', 'g', 'indonesia', 'usul', 'prinsip', 'ukur', 'literasi', 'digital', 'infrastruktur', 'ekosistem', 'literasi', 'pember']",presidensi g indonesia usul prinsip ukur literasi digital infrastruktur ekosistem literasi pember
"['presidensi', 'gindonesia', 'tekan', 'luas', 'akses', 'uang', 'tingkat', 'inklusi', 'uang']",presidensi gindonesia tekan luas akses uang tingkat inklusi uang
"['private', 'finance', 'wujud', 'bangun', 'lanjut', 'negara', 'kembang', 'least', 'developing', 'countries']",private finance wujud bangun lanjut negara kembang least developing countries
"['promosi', 'strategi', 'cepat', 'inklusi', 'uang video', 'belajartanpabataskitapemelajarumkm']",promosi strategi cepat inklusi uang video belajartanpabataskitapemelajarumkm
"['promosi', 'strategi', 'cepat', 'inklusi', 'uang video', 'belajartanpabataskitapemelajarumkmgindonesia']",promosi strategi cepat inklusi uang video belajartanpabataskitapemelajarumkmgindonesia
"['proporsi', 'energi', 'baru', 'ebt', 'bangkit', 'listrik', 'indonesia', 'kisar', 'tertingg']",proporsi energi baru ebt bangkit listrik indonesia kisar tertingg
"['rabu', 'menkominfo', 'johnny', 'g', 'plate', 'damping', 'chair', 'alternate', 'chair', 'dewg', 'konferen']",rabu menkominfo johnny g plate damping chair alternate chair dewg konferen
"['rabu', 'menkominfo', 'johnny', 'g', 'plate', 'damping', 'chair', 'alternate', 'chair', 'dewg', 'konferensi', 'pe']",rabu menkominfo johnny g plate damping chair alternate chair dewg konferensi pe
"['rangka', 'luas', 'diskusi', 'selenggara', 'giat', 'road', 'to', 'g', 'investment', 'forum', 'topi']",rangka luas diskusi selenggara giat road to g investment forum topi
"['rangka', 'tingkat', 'upaya', 'strategis', 'gabung', 'cepat', 'transisi', 'energi', 'kurang', 'emisi', 'karbon']",rangka tingkat upaya strategis gabung cepat transisi energi kurang emisi karbon
"['rangka', 'wujud', 'upaya', 'global', 'pulihbersama', 'cipta', 'didik', 'kualitas', 'dunia']",rangka wujud upaya global pulihbersama cipta didik kualitas dunia
"['rencana', 'renovasi', 'kubah', 'gedung', 'dpr', 'streaming', 'jam', 'kanal', 'youtube']",rencana renovasi kubah gedung dpr streaming jam kanal youtube
"['rumah', 'tahan', 'negara', 'kelas', 'iimajene', 'mengucapkanselamat', 'ingat', 'didik', 'nasional', 'pimpin']",rumah tahan negara kelas iimajene mengucapkanselamat ingat didik nasional pimpin
"['sabilulungan', 'filosofi', 'sunda', 'lekat', 'gotong', 'royong', 'alas', 'pilih', 'bandung', 'lokasi', 'pert']",sabilulungan filosofi sunda lekat gotong royong alas pilih bandung lokasi pert
"['sahabatdikbud', 'lanjut', 'temu', 'perdana', 'g', 'education', 'working', 'group', 'edwg', 'maret', 'kemendikbudristek']",sahabatdikbud lanjut temu perdana g education working group edwg maret kemendikbudristek
"['sahabatdikbud', 'mendikbudristek', 'buka', 'temu', 'edwg', 'g', 'tekan', 'gotong', 'royong', 'sbg']",sahabatdikbud mendikbudristek buka temu edwg g tekan gotong royong sbg
"['sahabatdikbud', 'mendikbudristek', 'buka', 'temu', 'edwg', 'g', 'tekan', 'gotong', 'royong', 'sbg', 'pengg']",sahabatdikbud mendikbudristek buka temu edwg g tekan gotong royong sbg pengg
"['sahabatdikbud', 'temu', 'g', 'education', 'working', 'group', 'edwg', 'yg', 'bahas', 'agenda', 'prioritas', 'inisiatif', 'dik']",sahabatdikbud temu g education working group edwg yg bahas agenda prioritas inisiatif dik
"['sahabatdikbud', 'temu', 'g', 'education', 'working', 'group', 'edwg', 'yg', 'bahas', 'agenda', 'prioritas', 'inisiatif', 'kemendikbudrist']",sahabatdikbud temu g education working group edwg yg bahas agenda prioritas inisiatif kemendikbudrist
"['salah', 'ampu', 'trade', 'investment', 'and', 'industry', 'working', 'group', 'tiiwg', 'g', 'menteri', 'investasi']",salah ampu trade investment and industry working group tiiwg g menteri investasi
"['salah', 'ampu', 'trade', 'investment', 'and', 'industry', 'working', 'group', 'tiiwg', 'g', 'menteri', 'investasi', 'bkpm']",salah ampu trade investment and industry working group tiiwg g menteri investasi bkpm
"['salah', 'tarik', 'daerah', 'gugus', 'vulkaniknya', 'gunung', 'rap']",salah tarik daerah gugus vulkaniknya gunung rap
"['salah', 'tarik', 'daerah', 'gugus', 'vulkaniknya', 'gunung', 'rap', 'd']",salah tarik daerah gugus vulkaniknya gunung rap d
"['salah', 'upaya', 'transisi', 'energi', 'terap', 'gelar', 'g', 'guna', 'kendara', 'listrik', 'rama']",salah upaya transisi energi terap gelar g guna kendara listrik rama
"['sektor', 'energi', 'kontributor', 'ubah', 'iklim', 'dominan', 'sumbang', 'emisi', 'c']",sektor energi kontributor ubah iklim dominan sumbang emisi c
"['selamat', 'ingat', 'bangkit', 'nasional', 'harkitnas', 'harkitnas', 'inidiplomasi', 'indonesianway']",selamat ingat bangkit nasional harkitnas harkitnas inidiplomasi indonesianway
"['selamat', 'ingat', 'bangkit', 'nasional', 'harkitnas', 'harkitnas', 'inidiplomasi', 'indonesianway', 'indone']",selamat ingat bangkit nasional harkitnas harkitnas inidiplomasi indonesianway indone
"['selamat', 'malam', 'temankeu ikut', 'agenda', 'gindonesia', 'mei', 'recovertogetherrecoverstronger']",selamat malam temankeu ikut agenda gindonesia mei recovertogetherrecoverstronger
"['selamat', 'malam', 'temankeu', 'xpertemuan', 'finance', 'ministers', 'and', 'central', 'bank', 'governors', 'fmcbg', 'gindonesia', 'berlangs']",selamat malam temankeu xpertemuan finance ministers and central bank governors fmcbg gindonesia berlangs
"['selaras', 'tuju', 'indonesia', 'tinggal', 'waris', 'nyata', 'tahan', 'lanjut', 'women', 'in']",selaras tuju indonesia tinggal waris nyata tahan lanjut women in
"['selenggara', 'seminar', 'internasional', 'side', 'event', 'gindonesi']",selenggara seminar internasional side event gindonesi
"['serta', 'delegasi', 'negara', 'dewg', 'g', 'ajak', 'nikmat', 'makan', 'malam', 'tunjuk', 'sendratari', 'latar', 'belak']",serta delegasi negara dewg g ajak nikmat makan malam tunjuk sendratari latar belak
