tanggal,teks
2022-02-18 08:04:31+00:00,"b'@_pln_id Mantap, PLN Terbaik \xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f\n#PLN #MotoGP #Mandalika #PLNSupportsMotoGP #motogpmandalika #motogpindonesia  #PowerBeyondGenerations'"

2022-02-18 07:41:24+00:00,b'RT @_pln_id: LISTRIK TANPA KEDIP UNTUK TES PRAMUSIM MOTOGP DI SIRKUIT MANDALIKA \n\n#PLN #MotoGP #Mandalika #PLNSupportsMotoGP #motogpmandali\xe2\x80\xa6'

2022-02-18 07:35:20+00:00,b'RT @_pln_id: LISTRIK TANPA KEDIP UNTUK TES PRAMUSIM MOTOGP DI SIRKUIT MANDALIKA \n\n#PLN #MotoGP #Mandalika #PLNSupportsMotoGP #motogpmandali\xe2\x80\xa6'

2022-02-18 07:08:12+00:00,"b'Jangan Kelewatan! Ini 5 Hal Baru dan Menarik dari #MotoGP 2022\nhttps://t.co/WFkP8bCCtW, #Nasional\xe2\x80\x93 Setelah empat bu\xe2\x80\xa6 https://t.co/5SViwAUe5h'"

2022-02-18 06:19:34+00:00,b'RT @_pln_id: LISTRIK TANPA KEDIP UNTUK TES PRAMUSIM MOTOGP DI SIRKUIT MANDALIKA \n\n#PLN #MotoGP #Mandalika #PLNSupportsMotoGP #motogpmandali\xe2\x80\xa6'

2022-02-18 05:52:11+00:00,"b'Jadwal MotoGP 2022, Indonesia seri ke2 #motogpmandalika https://t.co/RLoy6Vmzlt'"

2022-02-18 04:43:03+00:00,"b'Jelang #MotoGPMandalika, Pertamina pastikan pasokan #Avtur di NTB aman\n\nBaca selengkapnya \xf0\x9f\x91\x87\nhttps://t.co/jtrNtcPKEH'"

2022-02-18 04:04:58+00:00,b'RT @_pln_id: LISTRIK TANPA KEDIP UNTUK TES PRAMUSIM MOTOGP DI SIRKUIT MANDALIKA \n\n#PLN #MotoGP #Mandalika #PLNSupportsMotoGP #motogpmandali\xe2\x80\xa6'

2022-02-18 02:59:00+00:00,"b'Gelaran MotoGP di Lombok, Indonesia jadi sorotan dan perbincangan hangat, termasuk seluruh aktivitas yang dilakukan\xe2\x80\xa6 https://t.co/c3WmcJbI5I'"

2022-02-18 02:51:04+00:00,"b'Rental Mobil di Lombok,\nIncld Driver+Bbm.\n\xf0\x9f\x91\x8d\xf0\x9f\x98\x89Solusi Liburan dan Kunjungan anda di Lombok. \n\n\xf0\x9f\x94\x98Melayani:\n- Perjalanan\xe2\x80\xa6 https://t.co/IDjGwrWqwM'"

2022-02-18 02:35:53+00:00,"b'\xf0\x9f\x98\x80Hai traveller, Yuk Liburan ke Lombok Bersama Kami, Lombok Travelist,\xf0\x9f\x98\x80\xf0\x9f\x92\x9a\n\n\xf0\x9f\x91\x8d\xf0\x9f\x98\x89Solusi Liburan dan Kunjungan anda di Lom\xe2\x80\xa6 https://t.co/ehZB2GOlyp'"

2022-02-18 02:30:19+00:00,b'RT @_pln_id: LISTRIK TANPA KEDIP UNTUK TES PRAMUSIM MOTOGP DI SIRKUIT MANDALIKA \n\n#PLN #MotoGP #Mandalika #PLNSupportsMotoGP #motogpmandali\xe2\x80\xa6'

2022-02-18 01:05:07+00:00,b'RT @_pln_id: LISTRIK TANPA KEDIP UNTUK TES PRAMUSIM MOTOGP DI SIRKUIT MANDALIKA \n\n#PLN #MotoGP #Mandalika #PLNSupportsMotoGP #motogpmandali\xe2\x80\xa6'

2022-02-17 22:28:39+00:00,b'RT @_pln_id: LISTRIK TANPA KEDIP UNTUK TES PRAMUSIM MOTOGP DI SIRKUIT MANDALIKA \n\n#PLN #MotoGP #Mandalika #PLNSupportsMotoGP #motogpmandali\xe2\x80\xa6'

2022-02-17 22:07:39+00:00,"b'Danlap #MotoGP  Mandalika Marsekal TNI (Purn) Hadi Tjahjanto: Saya Kaget, Senang, Pulang pun Nyaman\xe2\x80\xa6 https://t.co/XFXIQvlRRI'"

2022-02-17 21:53:36+00:00,b'RT @1ND1RA152: Gelaran tinggal beberapa minggu lg \n\nMedia Asing Serang Habis Sirkuit Mandalika: Diminta Ganti Aspal hingga Pembalap Sebut T\xe2\x80\xa6'

2022-02-17 21:36:47+00:00,"b'Yuk lihat lebih dekat salah satu pesona Indonesia, yang baru-baru ini juga ramai diperbincangkan karena akan adanya\xe2\x80\xa6 https://t.co/xdYkg8qxkd'"

2022-02-17 16:50:39+00:00,b'Jalur Mandalika di Indonesia menerima tes resmi terakhir pekan lalu sebelum tim dan produsen kembali... #MotoGP\xe2\x80\xa6 https://t.co/FHDiaGgOem'

2022-02-17 15:44:31+00:00,b'Mandalika Penuhi Kualifikasi Dunia Setelah Top Speed di Atas Target\n#Mandalika #motogpmandalika\n#sirkuitmandalika\xe2\x80\xa6 https://t.co/FbqrWukkX3'

2022-02-17 15:34:51+00:00,b'RT @JNE_ID: Hai #TemanJNE! Tinggal menunggu hari menuju MotoGP di Mandalika! Yuk simak beberapa hal menarik tentang MotoGP Indonesia!\n\n#JNE\xe2\x80\xa6'

2022-02-17 13:58:26+00:00,b'Berita ini sudah menjawab apa yg menjadi konsen saya. Saya bangga dengan Sirkuit Mandalika yg bisa menggelar\xe2\x80\xa6 https://t.co/7ZffhW8ITd'

2022-02-17 13:50:14+00:00,"b'RT @_rakyatmerdeka: Banyak Aspal Terkelupas, Perbaikan Sirkuit Mandalika Dikebut\n\n#MotoGP #motogpmandalika #mandalikatest #mandalika #Rakya\xe2\x80\xa6'"

2022-02-17 13:49:07+00:00,"b'RT @_rakyatmerdeka: Banyak Aspal Terkelupas, Perbaikan Sirkuit Mandalika Dikebut\n\n#MotoGP #motogpmandalika #mandalikatest #mandalika #Rakya\xe2\x80\xa6'"

2022-02-17 13:48:28+00:00,"b'Banyak Aspal Terkelupas, Perbaikan Sirkuit Mandalika Dikebut\n\n#MotoGP #motogpmandalika #mandalikatest #mandalika\xe2\x80\xa6 https://t.co/DrQsjnodNb'"

2022-02-17 13:39:25+00:00,b'RT @1ND1RA152: Gelaran tinggal beberapa minggu lg \n\nMedia Asing Serang Habis Sirkuit Mandalika: Diminta Ganti Aspal hingga Pembalap Sebut T\xe2\x80\xa6'

